prevista,observada,n
0.010505763216561294,0.007618734928410288,8296653
0.03426864382854445,0.02045475693086802,8296652
0.05309851331340305,0.03962972051858991,8296652
0.07266468112997271,0.061696452978864245,8296652
0.09308535330599155,0.08717974431131979,8296652
0.11656956633471148,0.10986045937566141,8296652
0.14636450102376405,0.13954942306848594,8296652
0.1840117168758682,0.18505621303629463,8296652
0.23743507082562754,0.25103366996711446,8296652
0.3962883520721782,0.4269179390773605,8296653
