ano,modelo,papel,n,taxa_y,AUC,KS,LogLoss,Brier
2016,A,out_of_sample,67144598,0.16608496189075403,0.785672116924158,0.4156916629398268,0.3787908010579487,0.11897199427805406
2016,B,out_of_sample,67144598,0.16608496189075403,0.7472445994235679,0.3630913867522133,0.39297322038531646,0.12376639852372008
2016,ensemble,out_of_sample,67144598,0.16608496189075403,0.7732470162056281,0.39567551140165447,0.3783786078083648,0.11856912164923386
2017,A,out_of_sample,65655882,0.14982648470094423,0.7940261825906139,0.42476136636363676,0.34377713273903454,0.10613217720613624
2017,B,out_of_sample,65655882,0.14982648470094423,0.7539323044523206,0.37404418844156323,0.3683073660535763,0.11439001518530527
2017,ensemble,out_of_sample,65655882,0.14982648470094423,0.7809015480186737,0.4056795774043502,0.3516525851105643,0.10854483957852923
2018,A,out_of_sample,66214692,0.1441378901226332,0.7925992170197825,0.4228672297448478,0.33695284901564343,0.10345262994751124
2018,B,out_of_sample,66214692,0.1441378901226332,0.7547717228809092,0.37517009985276006,0.359965624179247,0.11108127150115485
2018,ensemble,out_of_sample,66214692,0.1441378901226332,0.7807392250369019,0.4056450066917981,0.3442099339261122,0.10561041539016632
2019,A,out_of_sample,66667417,0.14397020961529078,0.7681990414528805,0.38255330074778504,0.34839607094721875,0.10683118370347698
2019,B,out_of_sample,66667417,0.14397020961529078,0.7391220965903256,0.35315511121295795,0.36776445668725005,0.11354427709676024
2019,ensemble,out_of_sample,66667417,0.14397020961529078,0.7617493933563991,0.37653311280253493,0.35352909497559876,0.10844127636600587
2020,A,out_of_sample,65921194,0.14821295560878342,0.7881236629259323,0.41449532785572296,0.3428535199854539,0.10536245336853674
2020,B,out_of_sample,65921194,0.14821295560878342,0.7390898679588809,0.3537103310732669,0.37381483436945956,0.11597669024907634
2020,ensemble,out_of_sample,65921194,0.14821295560878342,0.7744992928598484,0.3942380393377735,0.3523609313558525,0.1082198260161961
2021,A,fitA_valB,70521981,0.12876917056541562,0.8075772373907181,0.4500308439187528,0.30687728144522264,0.0919703029106685
2021,B,fitA_valB,70521981,0.12876917056541562,0.7489100828621948,0.3673775236810662,0.3426865956011062,0.10377998373196734
2021,ensemble,fitA_valB,70521981,0.12876917056541562,0.7914103265392853,0.4220707103135886,0.31939663851263295,0.0956138543015983
2022,A,fitA_valB,78488470,0.15492629681786382,0.8195023830194266,0.4681162418451036,0.3311739989743208,0.10125681342250033
2022,B,fitA_valB,78488470,0.15492629681786382,0.7487003361687908,0.3525575307732945,0.3763768137802537,0.11566532637650517
2022,ensemble,fitA_valB,78488470,0.15492629681786382,0.8093830724031581,0.4515775425547619,0.34406002657568807,0.1056108825994368
2023,A,fitB_valA,82966522,0.13289971345309617,0.7747712977078881,0.40381777489206105,0.33773852886089434,0.10203076243430899
2023,B,fitB_valA,82966522,0.13289971345309617,0.7706091571940705,0.3903277248164034,0.33376301813840353,0.10030380354231251
2023,ensemble,fitB_valA,82966522,0.13289971345309617,0.78073562289285,0.4101215832034563,0.33037288532277237,0.09971333162642776
2024,A,fitB_valA,87747220,0.13438624038459565,0.7626955153744901,0.38145743733739,0.3465307080698633,0.10493524676236718
2024,B,fitB_valA,87747220,0.13438624038459565,0.7791891637831352,0.4061037994229603,0.3331708274618636,0.10052707735534139
2024,ensemble,fitB_valA,87747220,0.13438624038459565,0.7788723611897457,0.40710041552317056,0.3338213296610878,0.10118376192568443
2025,A,out_of_sample,91710262,0.12951746883026025,0.7666858117808967,0.3918756382368469,0.3371214723339915,0.10185997170175003
2025,B,out_of_sample,91710262,0.12951746883026025,0.7710915949641504,0.3924005066009453,0.32883272315206913,0.09857229131481446
2025,ensemble,out_of_sample,91710262,0.12951746883026025,0.7761627833899998,0.40293565575439366,0.32752935388397997,0.0985873213222615
