prevista,observada,n
0.008772601453207718,0.0026495700598583236,6666742
0.0347718923205087,0.024136827253852033,6666742
0.058870520576266155,0.05031063903637475,6666741
0.0812031579789636,0.07975739874139422,6666742
0.10826268823879705,0.10631564863317045,6666742
0.14298040976223905,0.1386337042341978,6666741
0.18775414001953442,0.17131216417254486,6666742
0.24242330276987895,0.20831017734152263,6666741
0.30878728529654365,0.24757280242733257,6666742
0.43989736068007435,0.4107031590543027,6666742
