prevista,observada,n
0.008738248242185859,0.0025231557343006914,6621470
0.03191350699171708,0.017506689225608395,6621469
0.053371850628804444,0.04144865739007462,6621469
0.0726541634326155,0.06858916050199737,6621469
0.09796924242552575,0.10019045622655637,6621469
0.1302181082245536,0.13518692000219287,6621469
0.1742218275985144,0.17108106977469803,6621469
0.23041306077862514,0.20666003269063105,6621469
0.2991274132396488,0.2525996874711639,6621469
0.43523396566731104,0.44559304806938643,6621470
