prevista,observada,n
0.009577168727644891,0.0027404210401830577,7052201
0.034842698551841,0.017864222718710597,7052196
0.05640547615440124,0.036663321137608444,7052198
0.07660828757727794,0.056788252400173676,7052198
0.10066831353074661,0.08087534115245472,7052199
0.13006512977789367,0.10548698511967264,7052197
0.17129064328779123,0.13637918277393798,7052198
0.22611037514444973,0.17783746287327723,7052198
0.29584003009796533,0.2332771995341027,7052198
0.4394219700755689,0.43977934255391016,7052198
