prevista,observada,n
0.0088130924341065,0.0026250500907077797,6565589
0.0313668514016467,0.018692156742092254,6565588
0.052978386429424255,0.043427488901222555,6565588
0.07225964532138844,0.07011009524204077,6565588
0.09846512041325933,0.10673438540462789,6565588
0.13157433809504457,0.14262393558657654,6565588
0.17665877795452703,0.17869579998013888,6565588
0.23496190473030282,0.21460895810093475,6565588
0.3056404620111949,0.2613321152652283,6565588
0.44115996950080133,0.4594148369628376,6565589
