prevista,observada,n
0.008723555277367413,0.0023021065883238475,6592223
0.033973990947478126,0.023547121244851348,6592016
0.05733491584280396,0.04900093581441718,6592119
0.07970146938932583,0.07689801203588344,6592121
0.10600884473869905,0.10431836930103497,6592118
0.13984592242922078,0.13589302620295537,6592119
0.18611466419374995,0.17141010782570706,6592120
0.2439576075344142,0.21088681803225942,6592119
0.3134399556267699,0.2549667261771215,6592119
0.4551344098832233,0.45290665218472964,6592120
