prevista,observada,n
0.009163675446504297,0.002951093170397445,6714461
0.03268438808149473,0.027113130037729027,6714459
0.0539723913615369,0.056388004396481624,6714460
0.07311169452594037,0.08146181248556288,6714459
0.09761386384605263,0.12116864200546283,6714460
0.1285808161094142,0.16409093210771974,6714460
0.1703711401149989,0.2016548168661094,6714459
0.22552151048693045,0.23612650905657342,6714460
0.28944865777029566,0.28783378325769066,6714462
0.4187174089125373,0.48206094967009994,6714458
