iter	Logloss
163	0.3497382139
164	0.3497019953
165	0.3496708286
166	0.3496268078
167	0.349578064
168	0.3494860965
169	0.3494612796
170	0.3494121725
171	0.3493813322
172	0.3493685341
173	0.3493223915
174	0.3492837962
175	0.3492130632
176	0.349158136
177	0.3491148996
178	0.3490869549
179	0.3490778384
180	0.3490581461
181	0.349028068
182	0.3489794329
183	0.3489105716
184	0.348894228
185	0.3488702795
186	0.3488114163
187	0.3487885085
188	0.3487667652
189	0.3487458941
190	0.3486958398
191	0.3486798322
192	0.3486308776
193	0.3485888103
194	0.3485541
195	0.3485401622
196	0.3485200578
197	0.3484572705
198	0.3484177804
199	0.3484034549
200	0.3483850878
201	0.3483659567
202	0.3483264285
203	0.3482962927
204	0.3482650611
205	0.348224118
206	0.3482113639
207	0.3481932699
208	0.3481732248
209	0.3481251113
210	0.3481092828
211	0.3480488324
212	0.3480263597
213	0.3479863961
214	0.3479277201
215	0.3478953927
216	0.3478820045
217	0.3478575983
218	0.3478303668
219	0.3477761604
220	0.3477616651
221	0.3476977002
222	0.3476529932
223	0.3476112078
224	0.3475993637
225	0.3475610669
226	0.3475484151
227	0.3475177339
228	0.3474974123
229	0.3474664723
230	0.3474467917
231	0.3474217629
232	0.3474003799
233	0.3473776726
234	0.3473341272
235	0.3473227316
236	0.3472958993
237	0.3472873576
238	0.3472603233
239	0.3472422613
240	0.3472258765
241	0.347212373
242	0.3471911877
243	0.3471693272
244	0.3471466344
245	0.3471134186
246	0.3470704922
247	0.3470559952
248	0.3470417274
249	0.3470252304
250	0.3469836264
251	0.3469468705
252	0.3469210128
253	0.3469084581
254	0.3468932374
255	0.3468784595
256	0.3468629036
257	0.3468244567
258	0.3468098703
259	0.3467515934
260	0.3467282934
261	0.3467056123
262	0.3466817027
263	0.3466650916
264	0.3466464904
265	0.3465990719
266	0.3465566323
267	0.3465436862
268	0.3465286677
269	0.3465041527
270	0.3464730353
271	0.3464564331
272	0.3464163523
273	0.3464078639
274	0.346396806
275	0.3463829369
276	0.3463635324
277	0.3463482488
278	0.3463344042
279	0.3463163034
280	0.3462987328
281	0.3462657102
282	0.3462296235
283	0.3462159264
284	0.3462064303
285	0.3461799104
286	0.3461744551
287	0.3461729706
288	0.3461533877
289	0.3461351003
290	0.3460844669
291	0.3460533297
292	0.3460385443
293	0.34602849
294	0.3460160025
295	0.3460010437
296	0.3459837558
297	0.3459781816
298	0.3459740764
299	0.3459421158
300	0.3459124629
301	0.3459029072
302	0.3458812711
303	0.3458658295
304	0.345852802
305	0.3458281889
306	0.3458073326
307	0.3457939034
308	0.3457756397
309	0.3457531392
310	0.3457377235
311	0.3457018838
312	0.3456873979
313	0.3456551236
314	0.345638048
315	0.3456253982
316	0.3455964244
317	0.3455860923
318	0.3455662904
319	0.3455428897
320	0.345525792
321	0.3455147997
322	0.3455042922
323	0.3454863535
324	0.345469413
325	0.3454675938
326	0.3454630543
327	0.3454338794
