categoria,conf_95,conf_90,conf_85,conf_80
1,76.8,147.4,218.2,290.8
2,16.5,29.5,41.8,54.0
3,10.2,18.7,26.9,35.2
4,7.0,13.1,18.9,24.9
5,4.9,9.5,14.0,18.6
6,3.9,7.3,10.7,14.2
7,3.3,6.1,8.7,11.4
8,2.7,4.9,7.1,9.2
9,2.4,4.3,6.1,7.8
10,1.9,3.5,4.9,6.3
11,1.1,2.2,3.3,4.5
12,0.7,1.4,2.2,3.0
13,0.8,1.4,2.0,2.6
14,0.6,1.0,1.4,1.9
