categoria,shape_p,escala_lambda_meses,q1_meses,q1_meses_mono,mediana_meses,mediana_meses_mono,media_meses,media_meses_mono,q3_meses,q3_meses_mono
1,1.1045,1130.62,365.9,365.9,811.3,811.3,1089.5,1089.5,1519.7,1519.7
2,1.2398,180.97,66.2,66.2,134.7,134.7,168.9,168.9,235.5,235.5
3,1.1851,124.72,43.6,43.6,91.5,91.5,117.7,117.7,164.3,164.3
4,1.1661,89.96,30.9,30.9,65.7,65.7,85.3,85.3,119.0,119.0
5,1.109,71.98,23.4,23.4,51.7,51.7,69.3,69.3,96.6,96.6
6,1.1337,53.19,17.7,17.7,38.5,38.5,50.8,50.8,71.0,71.0
7,1.1979,39.83,14.1,14.1,29.3,29.3,37.5,37.5,52.3,52.3
8,1.2052,31.94,11.4,11.4,23.6,23.6,30.0,30.0,41.9,41.9
9,1.2541,25.91,9.6,9.6,19.3,19.3,24.1,24.1,33.6,33.6
10,1.2508,20.91,7.7,7.7,15.6,15.6,19.5,19.5,27.2,27.2
11,1.0173,19.66,5.8,5.8,13.7,13.7,19.5,19.5,27.1,27.1
12,0.9778,13.91,3.9,3.9,9.6,9.6,14.0,14.0,19.4,19.4
13,1.1959,8.99,3.2,3.2,6.6,6.6,8.5,8.5,11.8,11.8
14,1.2414,6.21,2.3,2.3,4.6,4.6,5.8,5.8,8.1,8.1
