categoria,mes,S_obs,S_weibull
1,0,1.0,1.0
1,1,0.9996,0.99958
1,2,0.99903,0.99909
1,3,0.99849,0.99857
1,4,0.99805,0.99804
1,5,0.99756,0.99749
1,6,0.99707,0.99693
1,7,0.99641,0.99637
1,8,0.99594,0.99579
1,9,0.99512,0.99521
1,10,0.99446,0.99462
1,11,0.99403,0.99402
1,12,0.99336,0.99342
1,13,,0.99281
1,14,,0.9922
1,15,,0.99159
1,16,,0.99097
1,17,,0.99035
1,18,,0.98972
1,19,,0.98909
1,20,,0.98846
1,21,,0.98783
1,22,,0.98719
1,23,,0.98655
1,24,,0.98591
1,25,,0.98526
1,26,,0.98461
1,27,,0.98396
1,28,,0.98331
1,29,,0.98266
1,30,,0.982
1,31,,0.98135
1,32,,0.98069
1,33,,0.98003
1,34,,0.97936
1,35,,0.9787
1,36,,0.97803
2,0,1.0,1.0
2,1,0.99846,0.99841
2,2,0.99644,0.99625
2,3,0.99347,0.99382
2,4,0.99107,0.99118
2,5,0.9881,0.98838
2,6,0.9848,0.98546
2,7,0.98184,0.98242
2,8,0.97883,0.97929
2,9,0.97611,0.97607
2,10,0.97356,0.97278
2,11,0.97101,0.96942
2,12,0.96694,0.966
2,13,,0.96252
2,14,,0.95898
2,15,,0.9554
2,16,,0.95178
2,17,,0.94812
2,18,,0.94441
2,19,,0.94068
2,20,,0.93691
2,21,,0.93311
2,22,,0.92928
2,23,,0.92542
2,24,,0.92155
2,25,,0.91765
2,26,,0.91373
2,27,,0.90979
2,28,,0.90583
2,29,,0.90185
2,30,,0.89786
2,31,,0.89386
2,32,,0.88984
2,33,,0.88581
2,34,,0.88177
2,35,,0.87772
2,36,,0.87366
3,0,1.0,1.0
3,1,0.99685,0.99672
3,2,0.99265,0.99257
3,3,0.98746,0.98801
3,4,0.9832,0.98318
3,5,0.97771,0.97814
3,6,0.97194,0.97294
3,7,0.9667,0.9676
3,8,0.96156,0.96216
3,9,0.9569,0.95661
3,10,0.95182,0.95099
3,11,0.94756,0.94529
3,12,0.94104,0.93953
3,13,,0.93371
3,14,,0.92785
3,15,,0.92195
3,16,,0.91602
3,17,,0.91005
3,18,,0.90406
3,19,,0.89805
3,20,,0.89201
3,21,,0.88597
3,22,,0.87991
3,23,,0.87384
3,24,,0.86776
3,25,,0.86168
3,26,,0.8556
3,27,,0.84952
3,28,,0.84344
3,29,,0.83737
3,30,,0.83129
3,31,,0.82523
3,32,,0.81917
3,33,,0.81313
3,34,,0.80709
3,35,,0.80107
3,36,,0.79506
4,0,1.0,1.0
4,1,0.99506,0.99475
4,2,0.98825,0.98826
4,3,0.98008,0.98122
4,4,0.97374,0.97384
4,5,0.96532,0.96619
4,6,0.95662,0.95835
4,7,0.94878,0.95036
4,8,0.94137,0.94224
