categoria,shape_p,escala_lambda_meses,media_meses,q1_meses,mediana_meses,q3_meses,IQR_meses
1,1.1045,1130.62,1089.5,365.9,811.3,1519.7,1153.7
2,1.2398,180.97,168.9,66.2,134.7,235.5,169.3
3,1.1851,124.72,117.7,43.6,91.5,164.3,120.7
4,1.1661,89.96,85.3,30.9,65.7,119.0,88.1
5,1.109,71.98,69.3,23.4,51.7,96.6,73.2
6,1.1337,53.19,50.8,17.7,38.5,71.0,53.2
7,1.1979,39.83,37.5,14.1,29.3,52.3,38.2
8,1.2052,31.94,30.0,11.4,23.6,41.9,30.5
9,1.2541,25.91,24.1,9.6,19.3,33.6,24.0
10,1.2508,20.91,19.5,7.7,15.6,27.2,19.4
11,1.0173,19.66,19.5,5.8,13.7,27.1,21.3
12,0.9778,13.91,14.0,3.9,9.6,19.4,15.5
13,1.1959,8.99,8.5,3.2,6.6,11.8,8.6
14,1.2414,6.21,5.8,2.3,4.6,8.1,5.8
