arquivo,pop,mob,evento,n
2021/NORDESTE.parquet,geral,5,0,12496
2021/NORDESTE.parquet,geral,5,1,445
2021/NORDESTE.parquet,geral,6,0,10820
2021/NORDESTE.parquet,geral,6,1,659
2021/NORDESTE.parquet,geral,7,0,10021
2021/NORDESTE.parquet,geral,7,1,498
2021/NORDESTE.parquet,geral,8,0,10310
2021/NORDESTE.parquet,geral,8,1,525
2021/NORDESTE.parquet,geral,9,0,10287
2021/NORDESTE.parquet,geral,9,1,487
2021/NORDESTE.parquet,geral,10,0,10407
2021/NORDESTE.parquet,geral,10,1,542
2021/NORDESTE.parquet,geral,11,0,10083
2021/NORDESTE.parquet,geral,11,1,406
2021/NORDESTE.parquet,geral,12,0,1800705
2021/NORDESTE.parquet,geral,12,1,697
2021/NORDESTE.parquet,privado,1,0,7253
2021/NORDESTE.parquet,privado,1,1,35
2021/NORDESTE.parquet,privado,2,0,9058
2021/NORDESTE.parquet,privado,2,1,62
2021/NORDESTE.parquet,privado,3,0,8158
2021/NORDESTE.parquet,privado,3,1,73
2021/NORDESTE.parquet,privado,4,0,10865
2021/NORDESTE.parquet,privado,4,1,97
2021/NORDESTE.parquet,privado,5,0,9290
2021/NORDESTE.parquet,privado,5,1,90
2021/NORDESTE.parquet,privado,6,0,7533
2021/NORDESTE.parquet,privado,6,1,75
2021/NORDESTE.parquet,privado,7,0,6968
2021/NORDESTE.parquet,privado,7,1,108
2021/NORDESTE.parquet,privado,8,0,7295
2021/NORDESTE.parquet,privado,8,1,92
2021/NORDESTE.parquet,privado,9,0,6528
2021/NORDESTE.parquet,privado,9,1,84
2021/NORDESTE.parquet,privado,10,0,7430
2021/NORDESTE.parquet,privado,10,1,73
2021/NORDESTE.parquet,privado,11,0,7289
2021/NORDESTE.parquet,privado,11,1,93
2021/NORDESTE.parquet,privado,12,0,124333
2021/NORDESTE.parquet,privado,12,1,61
2021/NORTE.parquet,geral,1,0,3093
2021/NORTE.parquet,geral,1,1,102
2021/NORTE.parquet,geral,2,0,4572
2021/NORTE.parquet,geral,2,1,247
2021/NORTE.parquet,geral,3,0,4553
2021/NORTE.parquet,geral,3,1,176
2021/NORTE.parquet,geral,4,0,4911
2021/NORTE.parquet,geral,4,1,218
2021/NORTE.parquet,geral,5,0,5004
2021/NORTE.parquet,geral,5,1,260
2021/NORTE.parquet,geral,6,0,3728
2021/NORTE.parquet,geral,6,1,233
2021/NORTE.parquet,geral,7,0,3581
2021/NORTE.parquet,geral,7,1,211
2021/NORTE.parquet,geral,8,0,5428
2021/NORTE.parquet,geral,8,1,233
2021/NORTE.parquet,geral,9,0,3098
2021/NORTE.parquet,geral,9,1,229
2021/NORTE.parquet,geral,10,0,3540
2021/NORTE.parquet,geral,10,1,259
2021/NORTE.parquet,geral,11,0,3641
2021/NORTE.parquet,geral,11,1,217
2021/NORTE.parquet,geral,12,0,626720
2021/NORTE.parquet,geral,12,1,444
2021/NORTE.parquet,privado,1,0,2023
2021/NORTE.parquet,privado,2,0,3110
2021/NORTE.parquet,privado,2,1,17
2021/NORTE.parquet,privado,3,0,3044
2021/NORTE.parquet,privado,3,1,18
2021/NORTE.parquet,privado,4,0,2555
2021/NORTE.parquet,privado,4,1,29
2021/NORTE.parquet,privado,5,0,3513
2021/NORTE.parquet,privado,5,1,47
2021/NORTE.parquet,privado,6,0,2553
