arquivo,pop,mob,evento,n
2022/SUL.parquet,privado,11,0,24286
2022/SUL.parquet,privado,11,1,182
2022/SUL.parquet,privado,12,0,228918
2022/SUL.parquet,privado,12,1,461
2023/CENTRO_OESTE.parquet,geral,1,0,18931
2023/CENTRO_OESTE.parquet,geral,1,1,562
2023/CENTRO_OESTE.parquet,geral,2,0,26498
2023/CENTRO_OESTE.parquet,geral,2,1,1232
2023/CENTRO_OESTE.parquet,geral,3,0,23734
2023/CENTRO_OESTE.parquet,geral,3,1,500
2023/CENTRO_OESTE.parquet,geral,4,0,16608
2023/CENTRO_OESTE.parquet,geral,4,1,381
2023/CENTRO_OESTE.parquet,geral,5,0,19853
2023/CENTRO_OESTE.parquet,geral,5,1,685
2023/CENTRO_OESTE.parquet,geral,6,0,13017
2023/CENTRO_OESTE.parquet,geral,6,1,440
2023/CENTRO_OESTE.parquet,geral,7,0,13593
2023/CENTRO_OESTE.parquet,geral,7,1,446
2023/CENTRO_OESTE.parquet,geral,8,0,10116
2023/CENTRO_OESTE.parquet,geral,8,1,528
2023/CENTRO_OESTE.parquet,geral,9,0,13845
2023/CENTRO_OESTE.parquet,geral,9,1,2463
2023/CENTRO_OESTE.parquet,geral,10,0,61754
2023/CENTRO_OESTE.parquet,geral,10,1,5159
2023/CENTRO_OESTE.parquet,geral,11,0,12410
2023/CENTRO_OESTE.parquet,geral,11,1,1102
2023/CENTRO_OESTE.parquet,geral,12,0,889645
2023/CENTRO_OESTE.parquet,geral,12,1,406
2023/CENTRO_OESTE.parquet,privado,1,0,8939
2023/CENTRO_OESTE.parquet,privado,1,1,28
2023/CENTRO_OESTE.parquet,privado,2,0,8691
2023/CENTRO_OESTE.parquet,privado,2,1,75
2023/CENTRO_OESTE.parquet,privado,3,0,10759
2023/CENTRO_OESTE.parquet,privado,3,1,90
2023/CENTRO_OESTE.parquet,privado,4,0,10242
2023/CENTRO_OESTE.parquet,privado,4,1,84
2023/CENTRO_OESTE.parquet,privado,5,0,10144
2023/CENTRO_OESTE.parquet,privado,5,1,95
2023/CENTRO_OESTE.parquet,privado,6,0,8495
2023/CENTRO_OESTE.parquet,privado,6,1,105
2023/CENTRO_OESTE.parquet,privado,7,0,7940
2023/CENTRO_OESTE.parquet,privado,7,1,102
2023/CENTRO_OESTE.parquet,privado,8,0,8019
2023/CENTRO_OESTE.parquet,privado,8,1,77
2023/CENTRO_OESTE.parquet,privado,9,0,10923
2023/CENTRO_OESTE.parquet,privado,9,1,82
2023/CENTRO_OESTE.parquet,privado,10,0,8548
2023/CENTRO_OESTE.parquet,privado,10,1,56
2023/CENTRO_OESTE.parquet,privado,11,0,7952
2023/CENTRO_OESTE.parquet,privado,11,1,114
2023/CENTRO_OESTE.parquet,privado,12,0,128163
2023/CENTRO_OESTE.parquet,privado,12,1,109
2023/MG_ES_RJ.parquet,geral,1,0,30519
2023/MG_ES_RJ.parquet,geral,1,1,800
2023/MG_ES_RJ.parquet,geral,2,0,27531
2023/MG_ES_RJ.parquet,geral,2,1,1312
2023/MG_ES_RJ.parquet,geral,3,0,29846
2023/MG_ES_RJ.parquet,geral,3,1,1591
2023/MG_ES_RJ.parquet,geral,4,0,29251
2023/MG_ES_RJ.parquet,geral,4,1,832
2023/MG_ES_RJ.parquet,geral,5,0,40757
2023/MG_ES_RJ.parquet,geral,5,1,1174
2023/MG_ES_RJ.parquet,geral,6,0,25498
2023/MG_ES_RJ.parquet,geral,6,1,1033
2023/MG_ES_RJ.parquet,geral,7,0,22158
2023/MG_ES_RJ.parquet,geral,7,1,918
2023/MG_ES_RJ.parquet,geral,8,0,26993
2023/MG_ES_RJ.parquet,geral,8,1,1262
2023/MG_ES_RJ.parquet,geral,9,0,23125
2023/MG_ES_RJ.parquet,geral,9,1,3589
2023/MG_ES_RJ.parquet,geral,10,0,28243
2023/MG_ES_RJ.parquet,geral,10,1,972
2023/MG_ES_RJ.parquet,geral,11,0,29531
2023/MG_ES_RJ.parquet,geral,11,1,986
2023/MG_ES_RJ.parquet,geral,12,0,1589913
2023/MG_ES_RJ.parquet,geral,12,1,1139
2023/MG_ES_RJ.parquet,privado,1,0,21354
2023/MG_ES_RJ.parquet,privado,1,1,80
2023/MG_ES_RJ.parquet,privado,2,0,21406
2023/MG_ES_RJ.parquet,privado,2,1,104
2023/MG_ES_RJ.parquet,privado,3,0,23675
2023/MG_ES_RJ.parquet,privado,3,1,232
2023/MG_ES_RJ.parquet,privado,4,0,26573
2023/MG_ES_RJ.parquet,privado,4,1,197
2023/MG_ES_RJ.parquet,privado,5,0,32947
2023/MG_ES_RJ.parquet,privado,5,1,234
2023/MG_ES_RJ.parquet,privado,6,0,22185
2023/MG_ES_RJ.parquet,privado,6,1,190
2023/MG_ES_RJ.parquet,privado,7,0,18370
2023/MG_ES_RJ.parquet,privado,7,1,198
2023/MG_ES_RJ.parquet,privado,8,0,22874
2023/MG_ES_RJ.parquet,privado,8,1,228
2023/MG_ES_RJ.parquet,privado,9,0,20613
2023/MG_ES_RJ.parquet,privado,9,1,178
2023/MG_ES_RJ.parquet,privado,10,0,20592
2023/MG_ES_RJ.parquet,privado,10,1,149
2023/MG_ES_RJ.parquet,privado,11,0,25622
2023/MG_ES_RJ.parquet,privado,11,1,201
2023/MG_ES_RJ.parquet,privado,12,0,251777
2023/MG_ES_RJ.parquet,privado,12,1,327
2023/NI.parquet,geral,2,0,1
2023/NI.parquet,geral,3,0,2
2023/NI.parquet,geral,5,0,1
2023/NI.parquet,geral,9,0,1
2023/NI.parquet,geral,12,0,3
2023/NI.parquet,privado,2,0,1
2023/NI.parquet,privado,3,0,2
2023/NI.parquet,privado,5,0,1
2023/NI.parquet,privado,9,0,1
2023/NI.parquet,privado,12,0,3
2023/NORDESTE.parquet,geral,1,0,18286
2023/NORDESTE.parquet,geral,1,1,936
2023/NORDESTE.parquet,geral,2,0,18223
2023/NORDESTE.parquet,geral,2,1,987
2023/NORDESTE.parquet,geral,3,0,21101
2023/NORDESTE.parquet,geral,3,1,696
2023/NORDESTE.parquet,geral,4,0,22560
2023/NORDESTE.parquet,geral,4,1,902
2023/NORDESTE.parquet,geral,5,0,25672
2023/NORDESTE.parquet,geral,5,1,786
2023/NORDESTE.parquet,geral,6,0,17403
2023/NORDESTE.parquet,geral,6,1,798
2023/NORDESTE.parquet,geral,7,0,14345
2023/NORDESTE.parquet,geral,7,1,912
2023/NORDESTE.parquet,geral,8,0,15410
2023/NORDESTE.parquet,geral,8,1,870
2023/NORDESTE.parquet,geral,9,0,15279
2023/NORDESTE.parquet,geral,9,1,2601
2023/NORDESTE.parquet,geral,10,0,15049
2023/NORDESTE.parquet,geral,10,1,827
2023/NORDESTE.parquet,geral,11,0,15284
2023/NORDESTE.parquet,geral,11,1,690
2023/NORDESTE.parquet,geral,12,0,1890066
2023/NORDESTE.parquet,geral,12,1,1477
2023/NORDESTE.parquet,privado,1,0,11763
2023/NORDESTE.parquet,privado,1,1,60
2023/NORDESTE.parquet,privado,2,0,15892
2023/NORDESTE.parquet,privado,2,1,67
2023/NORDESTE.parquet,privado,3,0,16341
2023/NORDESTE.parquet,privado,3,1,120
2023/NORDESTE.parquet,privado,4,0,20183
2023/NORDESTE.parquet,privado,4,1,144
2023/NORDESTE.parquet,privado,5,0,22778
2023/NORDESTE.parquet,privado,5,1,143
2023/NORDESTE.parquet,privado,6,0,14696
2023/NORDESTE.parquet,privado,6,1,116
2023/NORDESTE.parquet,privado,7,0,11143
2023/NORDESTE.parquet,privado,7,1,103
2023/NORDESTE.parquet,privado,8,0,12238
2023/NORDESTE.parquet,privado,8,1,129
2023/NORDESTE.parquet,privado,9,0,12241
2023/NORDESTE.parquet,privado,9,1,104
2023/NORDESTE.parquet,privado,10,0,11248
2023/NORDESTE.parquet,privado,10,1,119
2023/NORDESTE.parquet,privado,11,0,12897
2023/NORDESTE.parquet,privado,11,1,97
2023/NORDESTE.parquet,privado,12,0,155814
2023/NORDESTE.parquet,privado,12,1,160
2023/NORTE.parquet,geral,1,0,4994
2023/NORTE.parquet,geral,1,1,200
2023/NORTE.parquet,geral,2,0,8161
2023/NORTE.parquet,geral,2,1,199
2023/NORTE.parquet,geral,3,0,6814
2023/NORTE.parquet,geral,3,1,256
2023/NORTE.parquet,geral,4,0,7728
2023/NORTE.parquet,geral,4,1,223
2023/NORTE.parquet,geral,5,0,7106
2023/NORTE.parquet,geral,5,1,281
2023/NORTE.parquet,geral,6,0,6539
2023/NORTE.parquet,geral,6,1,216
2023/NORTE.parquet,geral,7,0,4699
2023/NORTE.parquet,geral,7,1,351
2023/NORTE.parquet,geral,8,0,4770
2023/NORTE.parquet,geral,8,1,269
2023/NORTE.parquet,geral,9,0,5660
2023/NORTE.parquet,geral,9,1,820
2023/NORTE.parquet,geral,10,0,4914
2023/NORTE.parquet,geral,10,1,195
2023/NORTE.parquet,geral,11,0,5571
2023/NORTE.parquet,geral,11,1,255
2023/NORTE.parquet,geral,12,0,640010
2023/NORTE.parquet,geral,12,1,238
2023/NORTE.parquet,privado,1,0,2822
2023/NORTE.parquet,privado,1,1,10
2023/NORTE.parquet,privado,2,0,3911
2023/NORTE.parquet,privado,2,1,18
2023/NORTE.parquet,privado,3,0,4965
2023/NORTE.parquet,privado,3,1,41
2023/NORTE.parquet,privado,4,0,6493
2023/NORTE.parquet,privado,4,1,27
2023/NORTE.parquet,privado,5,0,5354
2023/NORTE.parquet,privado,5,1,29
2023/NORTE.parquet,privado,6,0,5293
2023/NORTE.parquet,privado,6,1,45
2023/NORTE.parquet,privado,7,0,3630
2023/NORTE.parquet,privado,7,1,84
2023/NORTE.parquet,privado,8,0,3622
2023/NORTE.parquet,privado,8,1,40
2023/NORTE.parquet,privado,9,0,4020
2023/NORTE.parquet,privado,9,1,20
2023/NORTE.parquet,privado,10,0,3657
2023/NORTE.parquet,privado,10,1,24
2023/NORTE.parquet,privado,11,0,4301
2023/NORTE.parquet,privado,11,1,30
2023/NORTE.parquet,privado,12,0,41304
2023/NORTE.parquet,privado,12,1,54
2023/SP.parquet,geral,1,0,81810
2023/SP.parquet,geral,1,1,1321
2023/SP.parquet,geral,2,0,55016
2023/SP.parquet,geral,2,1,1395
2023/SP.parquet,geral,3,0,76146
2023/SP.parquet,geral,3,1,1304
2023/SP.parquet,geral,4,0,55020
2023/SP.parquet,geral,4,1,1083
2023/SP.parquet,geral,5,0,56238
2023/SP.parquet,geral,5,1,1237
2023/SP.parquet,geral,6,0,51048
2023/SP.parquet,geral,6,1,1251
2023/SP.parquet,geral,7,0,39454
2023/SP.parquet,geral,7,1,1103
2023/SP.parquet,geral,8,0,45196
2023/SP.parquet,geral,8,1,1085
2023/SP.parquet,geral,9,0,47132
2023/SP.parquet,geral,9,1,4077
2023/SP.parquet,geral,10,0,39471
2023/SP.parquet,geral,10,1,816
2023/SP.parquet,geral,11,0,44519
2023/SP.parquet,geral,11,1,1076
2023/SP.parquet,geral,12,0,1585097
2023/SP.parquet,geral,12,1,1118
2023/SP.parquet,privado,1,0,60744
2023/SP.parquet,privado,1,1,198
2023/SP.parquet,privado,2,0,50150
2023/SP.parquet,privado,2,1,345
2023/SP.parquet,privado,3,0,53924
2023/SP.parquet,privado,3,1,456
2023/SP.parquet,privado,4,0,51356
2023/SP.parquet,privado,4,1,403
2023/SP.parquet,privado,5,0,51826
2023/SP.parquet,privado,5,1,508
2023/SP.parquet,privado,6,0,46661
2023/SP.parquet,privado,6,1,635
2023/SP.parquet,privado,7,0,35151
2023/SP.parquet,privado,7,1,427
2023/SP.parquet,privado,8,0,40463
2023/SP.parquet,privado,8,1,450
2023/SP.parquet,privado,9,0,43095
2023/SP.parquet,privado,9,1,373
2023/SP.parquet,privado,10,0,35505
2023/SP.parquet,privado,10,1,302
2023/SP.parquet,privado,11,0,38902
2023/SP.parquet,privado,11,1,226
2023/SP.parquet,privado,12,0,350122
2023/SP.parquet,privado,12,1,670
2023/SUL.parquet,geral,1,0,21297
2023/SUL.parquet,geral,1,1,810
2023/SUL.parquet,geral,2,0,25682
2023/SUL.parquet,geral,2,1,1314
2023/SUL.parquet,geral,3,0,31445
2023/SUL.parquet,geral,3,1,1163
2023/SUL.parquet,geral,4,0,31901
2023/SUL.parquet,geral,4,1,904
2023/SUL.parquet,geral,5,0,34001
2023/SUL.parquet,geral,5,1,999
2023/SUL.parquet,geral,6,0,29693
2023/SUL.parquet,geral,6,1,965
2023/SUL.parquet,geral,7,0,24142
2023/SUL.parquet,geral,7,1,1007
2023/SUL.parquet,geral,8,0,25591
2023/SUL.parquet,geral,8,1,1034
2023/SUL.parquet,geral,9,0,25780
2023/SUL.parquet,geral,9,1,3467
2023/SUL.parquet,geral,10,0,25512
2023/SUL.parquet,geral,10,1,660
2023/SUL.parquet,geral,11,0,27940
2023/SUL.parquet,geral,11,1,653
2023/SUL.parquet,geral,12,0,1201588
2023/SUL.parquet,geral,12,1,893
2023/SUL.parquet,privado,1,0,17726
2023/SUL.parquet,privado,1,1,117
2023/SUL.parquet,privado,2,0,20838
2023/SUL.parquet,privado,2,1,202
2023/SUL.parquet,privado,3,0,25316
2023/SUL.parquet,privado,3,1,272
2023/SUL.parquet,privado,4,0,28542
2023/SUL.parquet,privado,4,1,234
2023/SUL.parquet,privado,5,0,29607
2023/SUL.parquet,privado,5,1,235
2023/SUL.parquet,privado,6,0,26328
2023/SUL.parquet,privado,6,1,260
2023/SUL.parquet,privado,7,0,20883
2023/SUL.parquet,privado,7,1,227
2023/SUL.parquet,privado,8,0,21817
2023/SUL.parquet,privado,8,1,243
2023/SUL.parquet,privado,9,0,22157
2023/SUL.parquet,privado,9,1,192
2023/SUL.parquet,privado,10,0,21584
2023/SUL.parquet,privado,10,1,148
2023/SUL.parquet,privado,11,0,24153
2023/SUL.parquet,privado,11,1,125
2023/SUL.parquet,privado,12,0,233910
2023/SUL.parquet,privado,12,1,450
2024/CENTRO_OESTE.parquet,geral,1,0,9641
2024/CENTRO_OESTE.parquet,geral,1,1,205
2024/CENTRO_OESTE.parquet,geral,2,0,14505
2024/CENTRO_OESTE.parquet,geral,2,1,374
2024/CENTRO_OESTE.parquet,geral,3,0,34078
2024/CENTRO_OESTE.parquet,geral,3,1,953
2024/CENTRO_OESTE.parquet,geral,4,0,13607
2024/CENTRO_OESTE.parquet,geral,4,1,353
2024/CENTRO_OESTE.parquet,geral,5,0,17411
2024/CENTRO_OESTE.parquet,geral,5,1,344
2024/CENTRO_OESTE.parquet,geral,6,0,13870
2024/CENTRO_OESTE.parquet,geral,6,1,365
2024/CENTRO_OESTE.parquet,geral,7,0,11482
2024/CENTRO_OESTE.parquet,geral,7,1,330
2024/CENTRO_OESTE.parquet,geral,8,0,10620
2024/CENTRO_OESTE.parquet,geral,8,1,308
2024/CENTRO_OESTE.parquet,geral,9,0,11995
2024/CENTRO_OESTE.parquet,geral,9,1,706
2024/CENTRO_OESTE.parquet,geral,10,0,77300
2024/CENTRO_OESTE.parquet,geral,10,1,3824
2024/CENTRO_OESTE.parquet,geral,11,0,16103
2024/CENTRO_OESTE.parquet,geral,11,1,690
2024/CENTRO_OESTE.parquet,geral,12,0,883738
2024/CENTRO_OESTE.parquet,geral,12,1,439
2024/CENTRO_OESTE.parquet,privado,1,0,7948
2024/CENTRO_OESTE.parquet,privado,1,1,36
2024/CENTRO_OESTE.parquet,privado,2,0,11826
2024/CENTRO_OESTE.parquet,privado,2,1,73
2024/CENTRO_OESTE.parquet,privado,3,0,11758
2024/CENTRO_OESTE.parquet,privado,3,1,110
2024/CENTRO_OESTE.parquet,privado,4,0,11688
2024/CENTRO_OESTE.parquet,privado,4,1,121
2024/CENTRO_OESTE.parquet,privado,5,0,10363
2024/CENTRO_OESTE.parquet,privado,5,1,117
2024/CENTRO_OESTE.parquet,privado,6,0,11561
2024/CENTRO_OESTE.parquet,privado,6,1,114
2024/CENTRO_OESTE.parquet,privado,7,0,9723
2024/CENTRO_OESTE.parquet,privado,7,1,116
2024/CENTRO_OESTE.parquet,privado,8,0,9051
2024/CENTRO_OESTE.parquet,privado,8,1,103
2024/CENTRO_OESTE.parquet,privado,9,0,10454
2024/CENTRO_OESTE.parquet,privado,9,1,68
2024/CENTRO_OESTE.parquet,privado,10,0,10032
2024/CENTRO_OESTE.parquet,privado,10,1,79
2024/CENTRO_OESTE.parquet,privado,11,0,7976
2024/CENTRO_OESTE.parquet,privado,11,1,65
2024/CENTRO_OESTE.parquet,privado,12,0,126127
2024/CENTRO_OESTE.parquet,privado,12,1,153
2024/MG_ES_RJ.parquet,geral,1,0,20807
2024/MG_ES_RJ.parquet,geral,1,1,939
2024/MG_ES_RJ.parquet,geral,2,0,29002
2024/MG_ES_RJ.parquet,geral,2,1,1546
2024/MG_ES_RJ.parquet,geral,3,0,32181
2024/MG_ES_RJ.parquet,geral,3,1,1487
2024/MG_ES_RJ.parquet,geral,4,0,33418
2024/MG_ES_RJ.parquet,geral,4,1,1034
2024/MG_ES_RJ.parquet,geral,5,0,38061
2024/MG_ES_RJ.parquet,geral,5,1,959
2024/MG_ES_RJ.parquet,geral,6,0,29691
2024/MG_ES_RJ.parquet,geral,6,1,1122
2024/MG_ES_RJ.parquet,geral,7,0,26271
2024/MG_ES_RJ.parquet,geral,7,1,1147
2024/MG_ES_RJ.parquet,geral,8,0,22459
2024/MG_ES_RJ.parquet,geral,8,1,1108
2024/MG_ES_RJ.parquet,geral,9,0,26326
2024/MG_ES_RJ.parquet,geral,9,1,963
2024/MG_ES_RJ.parquet,geral,10,0,29018
2024/MG_ES_RJ.parquet,geral,10,1,1122
2024/MG_ES_RJ.parquet,geral,11,0,26722
2024/MG_ES_RJ.parquet,geral,11,1,857
2024/MG_ES_RJ.parquet,geral,12,0,1663747
2024/MG_ES_RJ.parquet,geral,12,1,1495
2024/MG_ES_RJ.parquet,privado,1,0,18398
2024/MG_ES_RJ.parquet,privado,1,1,65
2024/MG_ES_RJ.parquet,privado,2,0,25803
2024/MG_ES_RJ.parquet,privado,2,1,175
2024/MG_ES_RJ.parquet,privado,3,0,28415
2024/MG_ES_RJ.parquet,privado,3,1,184
2024/MG_ES_RJ.parquet,privado,4,0,30208
2024/MG_ES_RJ.parquet,privado,4,1,221
2024/MG_ES_RJ.parquet,privado,5,0,30124
2024/MG_ES_RJ.parquet,privado,5,1,227
2024/MG_ES_RJ.parquet,privado,6,0,26077
2024/MG_ES_RJ.parquet,privado,6,1,238
2024/MG_ES_RJ.parquet,privado,7,0,23260
2024/MG_ES_RJ.parquet,privado,7,1,228
2024/MG_ES_RJ.parquet,privado,8,0,18841
2024/MG_ES_RJ.parquet,privado,8,1,217
2024/MG_ES_RJ.parquet,privado,9,0,23058
2024/MG_ES_RJ.parquet,privado,9,1,160
2024/MG_ES_RJ.parquet,privado,10,0,21912
2024/MG_ES_RJ.parquet,privado,10,1,173
2024/MG_ES_RJ.parquet,privado,11,0,23383
2024/MG_ES_RJ.parquet,privado,11,1,150
2024/MG_ES_RJ.parquet,privado,12,0,248346
2024/MG_ES_RJ.parquet,privado,12,1,341
2024/NI.parquet,geral,1,0,12
2024/NI.parquet,geral,2,0,24
2024/NI.parquet,geral,3,0,32
2024/NI.parquet,geral,4,0,19
2024/NI.parquet,geral,5,0,18
2024/NI.parquet,geral,6,0,20
2024/NI.parquet,geral,7,0,14
2024/NI.parquet,geral,8,0,36
2024/NI.parquet,geral,9,0,10
2024/NI.parquet,geral,10,0,14
2024/NI.parquet,geral,11,0,11
2024/NI.parquet,geral,12,0,203
2024/NI.parquet,privado,1,0,12
2024/NI.parquet,privado,2,0,24
2024/NI.parquet,privado,3,0,32
2024/NI.parquet,privado,4,0,19
2024/NI.parquet,privado,5,0,17
2024/NI.parquet,privado,6,0,20
2024/NI.parquet,privado,7,0,14
2024/NI.parquet,privado,8,0,36
2024/NI.parquet,privado,9,0,10
2024/NI.parquet,privado,10,0,14
2024/NI.parquet,privado,11,0,11
2024/NI.parquet,privado,12,0,44
2024/NORDESTE.parquet,geral,1,0,17684
2024/NORDESTE.parquet,geral,1,1,839
2024/NORDESTE.parquet,geral,2,0,18287
2024/NORDESTE.parquet,geral,2,1,952
2024/NORDESTE.parquet,geral,3,0,19559
2024/NORDESTE.parquet,geral,3,1,744
2024/NORDESTE.parquet,geral,4,0,24037
2024/NORDESTE.parquet,geral,4,1,820
2024/NORDESTE.parquet,geral,5,0,19535
2024/NORDESTE.parquet,geral,5,1,1055
2024/NORDESTE.parquet,geral,6,0,19412
2024/NORDESTE.parquet,geral,6,1,809
2024/NORDESTE.parquet,geral,7,0,15884
2024/NORDESTE.parquet,geral,7,1,6935
2024/NORDESTE.parquet,geral,8,0,13412
2024/NORDESTE.parquet,geral,8,1,645
2024/NORDESTE.parquet,geral,9,0,17733
2024/NORDESTE.parquet,geral,9,1,653
2024/NORDESTE.parquet,geral,10,0,16962
2024/NORDESTE.parquet,geral,10,1,525
2024/NORDESTE.parquet,geral,11,0,14676
2024/NORDESTE.parquet,geral,11,1,536
2024/NORDESTE.parquet,geral,12,0,1895025
2024/NORDESTE.parquet,geral,12,1,1211
2024/NORDESTE.parquet,privado,1,0,14787
2024/NORDESTE.parquet,privado,1,1,46
2024/NORDESTE.parquet,privado,2,0,15740
2024/NORDESTE.parquet,privado,2,1,231
2024/NORDESTE.parquet,privado,3,0,17039
2024/NORDESTE.parquet,privado,3,1,122
2024/NORDESTE.parquet,privado,4,0,20796
2024/NORDESTE.parquet,privado,4,1,141
2024/NORDESTE.parquet,privado,5,0,16519
2024/NORDESTE.parquet,privado,5,1,205
2024/NORDESTE.parquet,privado,6,0,16804
2024/NORDESTE.parquet,privado,6,1,201
2024/NORDESTE.parquet,privado,7,0,13133
2024/NORDESTE.parquet,privado,7,1,110
2024/NORDESTE.parquet,privado,8,0,10857
2024/NORDESTE.parquet,privado,8,1,91
2024/NORDESTE.parquet,privado,9,0,14473
2024/NORDESTE.parquet,privado,9,1,97
2024/NORDESTE.parquet,privado,10,0,14248
2024/NORDESTE.parquet,privado,10,1,94
2024/NORDESTE.parquet,privado,11,0,11839
2024/NORDESTE.parquet,privado,11,1,46
2024/NORDESTE.parquet,privado,12,0,150769
2024/NORDESTE.parquet,privado,12,1,163
2024/NORTE.parquet,geral,1,0,3841
2024/NORTE.parquet,geral,1,1,238
2024/NORTE.parquet,geral,2,0,5705
2024/NORTE.parquet,geral,2,1,257
2024/NORTE.parquet,geral,3,0,6914
2024/NORTE.parquet,geral,3,1,313
2024/NORTE.parquet,geral,4,0,6766
2024/NORTE.parquet,geral,4,1,238
2024/NORTE.parquet,geral,5,0,5577
2024/NORTE.parquet,geral,5,1,240
2024/NORTE.parquet,geral,6,0,5849
2024/NORTE.parquet,geral,6,1,244
2024/NORTE.parquet,geral,7,0,5038
2024/NORTE.parquet,geral,7,1,287
2024/NORTE.parquet,geral,8,0,4582
2024/NORTE.parquet,geral,8,1,239
2024/NORTE.parquet,geral,9,0,5774
2024/NORTE.parquet,geral,9,1,256
2024/NORTE.parquet,geral,10,0,5095
2024/NORTE.parquet,geral,10,1,190
2024/NORTE.parquet,geral,11,0,5770
2024/NORTE.parquet,geral,11,1,195
2024/NORTE.parquet,geral,12,0,661647
2024/NORTE.parquet,geral,12,1,426
2024/NORTE.parquet,privado,1,0,2921
2024/NORTE.parquet,privado,1,1,16
2024/NORTE.parquet,privado,2,0,4678
2024/NORTE.parquet,privado,2,1,25
2024/NORTE.parquet,privado,3,0,5704
2024/NORTE.parquet,privado,3,1,36
2024/NORTE.parquet,privado,4,0,5571
2024/NORTE.parquet,privado,4,1,39
2024/NORTE.parquet,privado,5,0,4502
2024/NORTE.parquet,privado,5,1,40
2024/NORTE.parquet,privado,6,0,4836
2024/NORTE.parquet,privado,6,1,56
2024/NORTE.parquet,privado,7,0,3950
2024/NORTE.parquet,privado,7,1,45
2024/NORTE.parquet,privado,8,0,3544
2024/NORTE.parquet,privado,8,1,28
2024/NORTE.parquet,privado,9,0,4756
2024/NORTE.parquet,privado,9,1,37
2024/NORTE.parquet,privado,10,0,4083
2024/NORTE.parquet,privado,10,1,25
2024/NORTE.parquet,privado,11,0,4811
2024/NORTE.parquet,privado,11,1,30
2024/NORTE.parquet,privado,12,0,39313
2024/NORTE.parquet,privado,12,1,54
2024/SP.parquet,geral,1,0,68625
2024/SP.parquet,geral,1,1,759
2024/SP.parquet,geral,2,0,72748
2024/SP.parquet,geral,2,1,1369
2024/SP.parquet,geral,3,0,68345
2024/SP.parquet,geral,3,1,1450
2024/SP.parquet,geral,4,0,62117
2024/SP.parquet,geral,4,1,1255
2024/SP.parquet,geral,5,0,59705
2024/SP.parquet,geral,5,1,1264
2024/SP.parquet,geral,6,0,68578
2024/SP.parquet,geral,6,1,1336
2024/SP.parquet,geral,7,0,50768
2024/SP.parquet,geral,7,1,1034
2024/SP.parquet,geral,8,0,44044
2024/SP.parquet,geral,8,1,924
2024/SP.parquet,geral,9,0,53135
2024/SP.parquet,geral,9,1,756
2024/SP.parquet,geral,10,0,49183
2024/SP.parquet,geral,10,1,746
2024/SP.parquet,geral,11,0,46801
2024/SP.parquet,geral,11,1,511
2024/SP.parquet,geral,12,0,1572628
2024/SP.parquet,geral,12,1,1285
2024/SP.parquet,privado,1,0,65860
2024/SP.parquet,privado,1,1,209
2024/SP.parquet,privado,2,0,64199
2024/SP.parquet,privado,2,1,384
2024/SP.parquet,privado,3,0,63290
2024/SP.parquet,privado,3,1,515
2024/SP.parquet,privado,4,0,57372
2024/SP.parquet,privado,4,1,459
2024/SP.parquet,privado,5,0,55037
2024/SP.parquet,privado,5,1,507
2024/SP.parquet,privado,6,0,58943
2024/SP.parquet,privado,6,1,515
2024/SP.parquet,privado,7,0,45204
2024/SP.parquet,privado,7,1,480
2024/SP.parquet,privado,8,0,37077
2024/SP.parquet,privado,8,1,416
2024/SP.parquet,privado,9,0,45891
2024/SP.parquet,privado,9,1,312
2024/SP.parquet,privado,10,0,42794
2024/SP.parquet,privado,10,1,336
2024/SP.parquet,privado,11,0,39920
2024/SP.parquet,privado,11,1,186
2024/SP.parquet,privado,12,0,345027
2024/SP.parquet,privado,12,1,697
2024/SUL.parquet,geral,1,0,21055
2024/SUL.parquet,geral,1,1,698
2024/SUL.parquet,geral,2,0,31110
2024/SUL.parquet,geral,2,1,1248
2024/SUL.parquet,geral,3,0,32627
2024/SUL.parquet,geral,3,1,1049
2024/SUL.parquet,geral,4,0,33321
2024/SUL.parquet,geral,4,1,1081
2024/SUL.parquet,geral,5,0,32914
2024/SUL.parquet,geral,5,1,932
2024/SUL.parquet,geral,6,0,37131
2024/SUL.parquet,geral,6,1,1031
2024/SUL.parquet,geral,7,0,27375
2024/SUL.parquet,geral,7,1,934
2024/SUL.parquet,geral,8,0,22718
2024/SUL.parquet,geral,8,1,841
2024/SUL.parquet,geral,9,0,27728
2024/SUL.parquet,geral,9,1,740
2024/SUL.parquet,geral,10,0,26838
2024/SUL.parquet,geral,10,1,609
2024/SUL.parquet,geral,11,0,27822
2024/SUL.parquet,geral,11,1,532
2024/SUL.parquet,geral,12,0,1202910
2024/SUL.parquet,geral,12,1,1033
2024/SUL.parquet,privado,1,0,18615
2024/SUL.parquet,privado,1,1,87
2024/SUL.parquet,privado,2,0,27048
2024/SUL.parquet,privado,2,1,158
2024/SUL.parquet,privado,3,0,29083
2024/SUL.parquet,privado,3,1,237
2024/SUL.parquet,privado,4,0,29467
2024/SUL.parquet,privado,4,1,269
2024/SUL.parquet,privado,5,0,29244
2024/SUL.parquet,privado,5,1,275
2024/SUL.parquet,privado,6,0,33158
2024/SUL.parquet,privado,6,1,313
2024/SUL.parquet,privado,7,0,22034
2024/SUL.parquet,privado,7,1,246
2024/SUL.parquet,privado,8,0,19002
2024/SUL.parquet,privado,8,1,247
