feature,importancia
tempo_vinculo_meses,37.506212875201406
tamanho_estab,10.79472772586682
cnae3,8.701691005807486
cnae2,8.621157754192238
cbo2,7.257743817447215
uf,6.7259671174962765
cbo1,5.865971263806639
cbo4,3.3618171699647723
cnae5,3.325056000938962
cbo,2.4861298140414445
idade,2.3847333150323236
escolaridade,1.7684711020992832
cnae,1.2003210381051108
