categoria,mob,eventos,censuras
1,1,14986.0,580016.0
1,2,20827.0,592718.0
1,3,19060.0,631616.0
1,4,15650.0,575924.0
1,5,17012.0,639022.0
1,6,16704.0,547495.0
1,7,22073.0,466433.0
1,8,15749.0,456286.0
1,9,26549.0,468738.0
1,10,21190.0,570129.0
1,11,13491.0,498173.0
1,12,21056.0,30837108.0
2,1,38013.0,1539672.0
2,2,46589.0,1571200.0
2,3,63894.0,1483242.0
2,4,47961.0,1373284.0
2,5,55236.0,1372773.0
2,6,56893.0,1193892.0
2,7,47393.0,1105597.0
2,8,44830.0,993123.0
2,9,37809.0,1029527.0
2,10,32681.0,980652.0
2,11,30117.0,1073467.0
2,12,43618.0,10357296.0
3,1,108885.0,2399868.0
3,2,134764.0,2504283.0
3,3,153541.0,2160806.0
3,4,116833.0,1753533.0
3,5,140797.0,1697337.0
3,6,137912.0,1490979.0
3,7,117127.0,1382115.0
3,8,107528.0,1309123.0
3,9,91119.0,1202024.0
3,10,93155.0,1257770.0
3,11,72251.0,1346710.0
3,12,101559.0,14650178.0
4,1,156393.0,2223735.0
4,2,200349.0,2166427.0
4,3,222392.0,1769224.0
4,4,161158.0,1478486.0
4,5,201361.0,1404964.0
4,6,195105.0,1248341.0
4,7,165908.0,1108048.0
4,8,147877.0,1043715.0
4,9,129495.0,945212.0
4,10,120723.0,1026614.0
4,11,108570.0,1051339.0
4,12,149641.0,14227635.0
5,1,300044.0,2752742.0
5,2,369381.0,2781153.0
5,3,382220.0,1999166.0
5,4,266396.0,1581790.0
5,5,326371.0,1427028.0
5,6,315511.0,1253877.0
5,7,264026.0,1078267.0
5,8,236295.0,1037767.0
5,9,215041.0,931134.0
5,10,201281.0,1056065.0
5,11,197390.0,1042260.0
5,12,221743.0,16851062.0
6,1,317152.0,1989809.0
6,2,467114.0,2537226.0
6,3,475961.0,1741595.0
6,4,341716.0,1359667.0
6,5,364044.0,1099560.0
6,6,388738.0,901530.0
6,7,306584.0,781467.0
6,8,270445.0,731001.0
6,9,254109.0,640764.0
6,10,236558.0,716770.0
6,11,221375.0,724755.0
6,12,243294.0,15820357.0
7,1,278028.0,1047075.0
7,2,522518.0,1969950.0
7,3,548321.0,1486939.0
7,4,437984.0,1269736.0
7,5,391713.0,760394.0
7,6,404421.0,635333.0
7,7,339006.0,561365.0
7,8,304410.0,521579.0
7,9,285359.0,456054.0
7,10,263215.0,463579.0
7,11,248780.0,436210.0
7,12,265313.0,14558164.0
8,1,308334.0,722225.0
8,2,592008.0,1645967.0
8,3,648156.0,1415162.0
8,4,541065.0,1316432.0
8,5,422842.0,582277.0
8,6,416557.0,496741.0
8,7,372645.0,436782.0
8,8,330076.0,399069.0
8,9,311196.0,339926.0
8,10,287668.0,335136.0
8,11,296274.0,289786.0
8,12,278705.0,12473186.0
9,1,306250.0,559033.0
9,2,501510.0,1051130.0
9,3,640010.0,1032966.0
9,4,535691.0,993904.0
9,5,472517.0,567653.0
9,6,458973.0,471173.0
9,7,427916.0,414131.0
9,8,366578.0,362869.0
9,9,340435.0,300304.0
9,10,313458.0,283614.0
9,11,293827.0,227059.0
9,12,274303.0,9906494.0
10,1,331077.0,508510.0
10,2,483256.0,811005.0
10,3,585620.0,858539.0
10,4,481513.0,865342.0
10,5,456232.0,559854.0
10,6,452967.0,440928.0
10,7,427363.0,380985.0
10,8,354364.0,320764.0
10,9,318690.0,256866.0
10,10,288677.0,236400.0
10,11,259290.0,167295.0
10,12,217944.0,6242454.0
11,1,601683.0,736156.0
11,2,617769.0,612527.0
11,3,597111.0,574129.0
11,4,447921.0,514131.0
11,5,432950.0,373180.0
11,6,387081.0,282189.0
11,7,373157.0,256575.0
11,8,309594.0,220397.0
11,9,279856.0,178352.0
11,10,252659.0,163471.0
11,11,234326.0,122436.0
11,12,175570.0,4685192.0
12,1,550578.0,585897.0
12,2,554313.0,358154.0
12,3,445814.0,306446.0
12,4,332304.0,267765.0
12,5,328458.0,200866.0
12,6,269642.0,144259.0
12,7,255571.0,138508.0
12,8,215062.0,118922.0
12,9,188729.0,93917.0
12,10,168995.0,82792.0
12,11,148491.0,61712.0
12,12,122273.0,2053642.0
13,1,421012.0,389431.0
13,2,455952.0,362642.0
13,3,374240.0,262786.0
13,4,291813.0,218324.0
13,5,319356.0,173559.0
13,6,273681.0,121926.0
13,7,261436.0,113526.0
13,8,213473.0,99055.0
13,9,183505.0,72588.0
13,10,156007.0,63740.0
13,11,145351.0,43434.0
13,12,188784.0,549414.0
14,1,403805.0,291300.0
14,2,337705.0,127794.0
14,3,317823.0,106962.0
14,4,234932.0,83645.0
14,5,238210.0,72800.0
14,6,195415.0,55696.0
14,7,182580.0,53504.0
14,8,152520.0,48296.0
14,9,133105.0,40088.0
14,10,117451.0,35144.0
14,11,106984.0,26001.0
14,12,94516.0,60692.0
