categoria,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.568177115305687,13.245099654589973,13.019222380434844,12.380058162445382,12.474200634169339,12.015467914890252,11.882123578151033,11.541971109744724,11.068601375633325,10.69196487520666
2,7.0134711358313595,6.707484334762269,6.681556413492039,5.447467688751163,5.933756296950568,6.301340287080137,8.18491047156353,8.032925617877535,8.075559544792416,8.007803968546071
3,10.551919604909989,10.949267272047308,10.958358003084875,9.507635491562542,9.627292248377662,10.498764916998006,11.072707876711064,10.808337849813688,10.790266631808962,10.474440690181433
4,9.602507412435472,8.828394080518178,9.041094686357523,8.704603029692901,8.604068973629332,9.293662638319818,9.961314063071939,10.149916854415086,10.096184243785729,10.045095062535095
5,9.777082886102022,9.296321691329956,9.621613885933352,9.755107206268393,9.957224075765374,10.615088932342953,11.43358253766445,12.103424077485133,12.064433494303294,12.054189748143997
6,8.782110811058843,8.318276799632361,8.404722323559248,8.659543536837493,8.6832483647065,9.251895518930473,10.401177395864641,10.669219085741595,10.702750468903744,10.710477525404954
7,7.480659873784634,7.165225501044978,7.2436627810637555,7.699497342157414,7.346770751755497,7.611424018278783,9.162981518177128,9.232785484246284,9.38572640819846,9.543199211447025
8,6.790482236560565,6.575927195677609,6.750538082998257,7.243133478532699,6.864001886859027,6.861490462101455,8.036320493952806,8.188747504686289,8.339696687826692,8.632205194223522
9,6.6254592811770205,6.5917932531924555,6.7566318967397745,7.260030788353477,6.827393023251369,6.678584369318837,6.460903110991971,6.553954376923261,6.704800448378878,6.903139149248096
10,7.310028127653695,6.5464507810587325,6.606289129910927,7.137204670761431,6.856741702827773,6.414906297087712,4.646078589632337,4.732871651531927,4.796369617179895,4.896203436862932
11,7.876828750989022,8.111829188434328,7.830062850703889,8.296519122677275,8.21504841068261,7.098789524928405,3.415243028689437,3.3946125884365745,3.333713592293864,3.3849210898557893
12,2.9285438569458706,4.460998635278405,4.092907356572768,4.781629682757921,4.785027103726307,4.054242321979015,2.1115024920220766,2.0242574468771872,2.048197082483069,2.0573946239516796
13,1.6266684625917338,1.9766926594634735,1.8032538760430994,1.9794812209388584,2.399592458838048,2.0967533512707193,2.067099791854778,1.5008885150084994,1.605399008652354,1.5954506814079323
14,1.0660604446540882,1.2262389529699715,1.1900863331056497,1.1480885782630517,1.4256340684605926,1.2075894464734336,1.1640550516528096,1.0660878372122191,0.9883013957593186,1.0035147429848146
