categoria,mob,n_risco,eventos,censuras,S,S_lo,S_hi
1,0,5475632,0,0,1.0,1.0,1.0
1,1,5475632,2313,44390,0.9995775830077697,0.9995603715407579,0.9995947944747814
1,2,5428929,3753,38080,0.9988865784525381,0.9988585740421888,0.9989145828628875
1,3,5387096,2199,9126,0.9984788352851587,0.998446064400153,0.9985116061701643
1,4,5375771,1549,10907,0.9981911288862335,0.9981553722203992,0.9982268855520678
1,5,5363315,2085,15845,0.9978030799829475,0.9977636479685433,0.9978425119973516
1,6,5345385,1647,11480,0.9974956406361591,0.9974535179381638,0.9975377633341544
1,7,5332258,1749,14832,0.997168458441398,0.997123645415071,0.997213271467725
1,8,5315677,2167,10096,0.9967619506627196,0.9967139986118955,0.9968099027135436
1,9,5303414,9940,9799,0.9948937552343432,0.9948334466064548,0.9949540638622316
1,10,5283675,2797,65524,0.9943670919112981,0.9943037354210729,0.9944304484015234
1,11,5215354,2346,23950,0.9939198000884183,0.9938539373237436,0.993985662853093
1,12,5189058,2147,5186911,0.9935085605511478,0.9934404665699489,0.9935766545323467
2,0,995570,0,0,1.0,1.0,1.0
2,1,995570,699,8779,0.9992978896511546,0.9992458576723062,0.999349921630003
2,2,986092,1049,5482,0.9982348412882797,0.9981521632088312,0.9983175193677282
2,3,979561,1319,3355,0.9968906965584882,0.9967808225998692,0.9970005705171071
2,4,974887,519,3344,0.9963599824639174,0.9962410575535406,0.9964789073742942
2,5,971024,609,6961,0.9957350924207048,0.9956063016285344,0.9958638832128752
2,6,963454,541,5070,0.995175965897799,0.9950388998286093,0.9953130319669887
2,7,957843,1066,5916,0.99406841739596,0.9939162300575402,0.9942206047343798
2,8,950861,1353,9277,0.9926539366582531,0.9924843258597937,0.9928235474567124
2,9,940231,2659,4623,0.9898466831029308,0.9896467861989325,0.990046580006929
2,10,932949,1051,7463,0.9887315858533049,0.9885208521738661,0.9889423195327437
2,11,924435,1806,22525,0.9867999743889498,0.986571596583284,0.9870283521946157
2,12,900104,1547,898557,0.9851039708600469,0.9848608496335098,0.9853470920865839
3,0,6968986,0,0,1.0,1.0,1.0
3,1,6968986,14707,387932,0.9978896499433346,0.9978555785586005,0.9979237213280687
